Topic	Count	Name	Representation	KeyBERT	MMR	Representative_Docs	about-label_prompt1	about-label_prompt2
-1	7865	-1_ms_si_da_pas	['ms', 'si', 'da', 'pas', 'est', 'hoy', 'ser', 'aos', 'va', 'gobierno', 'presidente', 'solo', 'ahora', 'em', 'gracias', 'estn', 'hace', 'qu', 'pueblo', 'gente', 'mas', 'siempre', 'mejor', 'tambin', 'mundo', 'vamos', 'aqu', 'ciudad', 'hacer', 'ver']	['vamos', 'quieren', 'gobierno', 'nacional', 'ver', 'va', 'hace', 'debe', 'tener', 'toda']	['est', 'va', 'gobierno', 'presidente', 'ahora', 'qu', 'pueblo', 'gente', 'mundo', 'ver']	['junin este sbado de agosto ser feriado en todo el tras la promulgacin de parte del poder ejecutivo de la ley aprobada por el congreso de la repblica la norma establece que que a partir de este ao el da de agosto ser feriado nacional en todo el pas ', 'y que podemos hacer nosotros hasta la potencia ms grande del mundo no est recibiendo gente sin papeles esta primero antes que todo somos solidarios si pero la caridad parte por casita ', 'tenemos una larga historia republicana de corrupcin y traicin todo el mundo lo sabe al contrario el hecho de que ahora se est luchando contra la corrupcin es bien visto en el mundo es una nueva imagen de esperanza hacia un nuevo nos toca apoyar el camino de la justicia']	" ""Government, President's Impact & Citizen"	" ""Political Update""
Thanks for"
0	1580	0_feliz_gracias_dios_saludos	['feliz', 'gracias', 'dios', 'saludos', 'da', 'amor', 'amo', 'semana', 'familia', 'em', 'ser', 'vida', 'abrazo', 'mejor', 'siempre', 'cumpleaos', 'si', 'vamos', 'ms', 'hermosa', 'hola', 'amigos', 'aos', 'gran', 'eu', 'hoy', 'navidad', 'domingo', 'cada', 'das']	['gracias', 'saludos', 'buenas', 'saludo', 'cumple', 'felicidades', 'bendiga', 'hoy', 'buen', 'hola']	['feliz', 'gracias', 'saludos', 'amo', 'cumpleaos', 'hola', 'amigos', 'hoy', 'navidad', 'domingo']	['feliz cumpleaos desde', 'feliz fin de semana en de la ', 'gracias feliz a todos en ']	 Family, Love & GratitudeDescription	" Personal Well-being
"
1	1437	1_presidente_pas_ms_est	['presidente', 'pas', 'ms', 'est', 'gobierno', 'si', 'elecciones', 'ser', 'justicia', 'pueblo', 'venezolanos', 'mas', 'solo', 'ahora', 'gente', 'voto', 'alcalde', 'evo', 'da', 'bien', 'qu', 'socialismo', 'electoral', 'candidato', 'votar', 'democracia', 'estn', 'periodista', 'poder', 'va']	['presidente', 'presidencia', 'ver', 'mismo', 'hace', 'gobierno', 'tener', 'quiere', 'quieren', 'va']	['presidente', 'gobierno', 'elecciones', 'pueblo', 'venezolanos', 'socialismo', 'candidato', 'votar', 'democracia', 'periodista']	[' tiene nuevo presidente ', 'as est la justicia en el ', 'presidente de libre']	 Venezuelan Politics & Elections ...	" Venezuelan Politics & Elections
"
2	1138	2_partido_ftbol_vs_gol	['partido', 'ftbol', 'vs', 'gol', 'final', 'copa', 'estadio', 'equipo', 'ms', 'vamos', 'goles', 'liga', 'juega', 'amrica', 'mundial', 'hoy', 'jugar', 'seleccin', 'music', 'club', 'mejor', 'deporte', 'nacional', 'jugadores', 'da', 'em', 'est', 'gt', 'copaamerica', 'messi']	['ftbol', 'futbol', 'jugadores', 'torneo', 'campeonato', 'fifa', 'eliminatoriassudamericanas', 'liga', 'equipos', 'estadio']	['ftbol', 'vs', 'final', 'estadio', 'liga', 'music', 'club', 'jugadores', 'copaamerica', 'messi']	['viva el ftbol horario de eliminatorias jueves de octubre 10 vs vs martes a las 00 todo por am', 'este rbitro pitana le regal el gol del empate a frente a y luego aadi minutos al partido hasta que su nuevo equipo gan copa amrica el mundo del ftbol qued atnito ', 'vs en copaamerica primer partido 3 copa amrica primer triunfo 0 copa amrica primer triunfo 3 copa amrica mayor goleada 7 copa amrica']	" ""Football Match Highlights & Goals"""	" ""Football Match Highlights"""
3	536	3_photography_travel_aeropuerto_sunset	['photography', 'travel', 'aeropuerto', 'sunset', 'sol', 'atardecer', 'photo', 'calor', 'playa', 'lluvia', 'fotografia', 'ciudad', 'parque', 'em', 'mar', 'clima', 'cielo', 'vuelo', 'internacional', 'das', 'invierno', 'photooftheday', 'luna', 'da', 'ms', 'trip', 'foto', 'lugar', 'picoftheday', 'hermoso']	['fotografia', 'naturephotography', 'foto', 'travelphotography', 'paisaje', 'photography', 'photooftheday', 'photo', 'streetphotography', 'atardecer']	['travel', 'aeropuerto', 'sunset', 'atardecer', 'playa', 'fotografia', 'parque', 'vuelo', 'photooftheday', 'hermoso']	['perfiles caninos dogphotography photoshop alpha bealpha photography photo photography fotografia photo foto latinoamerica ', 'del atardecer en del travel viajes ciudad scape fotografia photography', 'hay ms all hay columnas que guardan historias lightroom alpha bealpha photography photo photography fotografia photo foto streetphoto streetphotography latinoamerica ']	" Travel Photography Nature)
["	 Travel & Nature Photographyrpor
4	437	4_caf_restaurante_mejor_pizza	['caf', 'restaurante', 'mejor', 'pizza', 'queso', 'comida', 'coffee', 'rico', 'makeup', 'cacao', 'pastel', 'pa', 'productos', 'pollo', 'em', 'chocolate', 'da', 'pescado', 'sabor', 'ms', 'comer', 'tienda', 'pan', 'almuerzo', 'tomate', 'si', 'desayuno', 'talla', 'carne', 'tambin']	['caf', 'deliciosa', 'delicioso', 'deliciosos', 'coffee', 'cafecito', 'almuerzo', 'torta', 'desayuno', 'comida']	['caf', 'restaurante', 'pizza', 'queso', 'comida', 'pollo', 'chocolate', 'sabor', 'almuerzo', 'desayuno']	['bendecido da caf en mano', 'veo que le gusta el caf tambin a m cafeteros en le decimos tinto al caf al exprso ', 'el caf de me hace feliz']	" ""Food & Drink Preferences"""	 Food & DrinkOr you could have
5	405	5_coronavirus_salud_pandemia_covid19	['coronavirus', 'salud', 'pandemia', 'covid19', 'vacunas', 'covid', 'ms', 'casos', 'dosis', 'hospital', 'virus', 'vacuna', 'fallecidos', '19', 'quedateencasa', 'hospitales', 'medicamentos', 'vacunacin', 'necesita', 'pacientes', 'atencin', 'pas', 'va', 'ministerio', 'gente', 'qu', 'sistema', 'mdicos', 'personas', 'contagios']	['coronavirus', 'coronavirusbolivia', 'virus', 'contagiados', 'contagios', 'pandemia', 'vacuna', 'vacunacin', 'vacunaron', 'vacunas']	['coronavirus', 'pandemia', 'covid19', 'vacunas', 'virus', 'vacuna', 'fallecidos', 'vacunacin', 'pacientes', 'contagios']	['cuarentena coronavirus en ', 'ya en esta el coronavirus', 'ya hay coronavirus en']	 COVID-19 Healthcare & Vaccination	" ""Healthcare during Covid-19 pandemic"
6	332	6_agua_servicio_transporte_si	['agua', 'servicio', 'transporte', 'si', 'calle', 'gasolina', 'energa', 'va', 'ms', 'luz', 'ciudad', 'tren', 'metro', 'banco', 'hoy', 'hace', 'gente', 'pagar', 'est', 'elctrica', 'qu', 'obra', 'calles', 'das', 'solo', 'electricidad', 'aos', 'gas', 'precios', 'ruta']	['agua', 'potable', 'elctrica', 'transporte', 'ver', 'gasolina', 'combustible', 'va', 'mantenimiento', 'electricidad']	['agua', 'servicio', 'transporte', 'gasolina', 'ciudad', 'tren', 'metro', 'elctrica', 'electricidad', 'precios']	['qu bueno qu no sea un sueo debemos generar conciencia en el uso del transporte colectivo y sobre todo el metro tren bus para que sea autosuficiente y tener mejor servicio ', 'sin luz y ms de das sin agua ', 'no hay agua en los y desde el inicio de la campaa electoral en el lo que si se es que los cisternas vacan el agua de los tanques de distribucin de agua de en y se llevan el agua para']	 Urban Services & Infrastructure The only	" ""Urban Services & Transportation""
"
7	331	7_publicar_foto_acaba_video	['publicar', 'foto', 'acaba', 'video', 'posted', 'acabou', 'uma', 'photo', 'youtube', 'twitter', 'em', 'fotos', 'netflix', 'centro', 'cuenta', 'tweet', 'instagram', 'redes', 'publi', 'selfie', 'aba', 'ar', 'da', 'mundo', 'tuit', 'perfil', 'pititatwittera', 'dios', 'si', 'tuits']	['twitter', 'hace', 'foto', 'podido', 'photo', 'si', 'fotos', 'vez', 'eu', 'crearon']	['video', 'youtube', 'twitter', 'netflix', 'tweet', 'instagram', 'selfie', 'tuit', 'pititatwittera', 'tuits']	['acaba de publicar una foto en las ', 'acaba de publicar una foto en ', 'acaba de publicar una foto en de los ']	" Social Media Sharing
"	 Social Media Activity Words associated to
8	148	8_tendencia_ahora_tendencias_trndnl	['tendencia', 'ahora', 'tendencias', 'trndnl', 'mayor', 'nmero', 'top20', 'lugar', 'cul', 'rtw', 'hashtags', 'lunes', 'sbado', 'ocup', 'hashtag', 'tl', 'mencin', 'apareci', 'aparece', 'cambios', 'cantidad', 'ciudades', 'jueves', 'ocupando', 'martes', 'horas', 'posicin', 'cadena', 'hilo', 'mircoles']	['tendencia', 'tendencias', 'trending', 'cambios', 'ahora', 'significativos', 'essabadodeseguirchilenosque', 'modernizado', 'aparece', 'estadsticos']	['ahora', 'tendencias', 'top20', 'lugar', 'lunes', 'hashtag', 'tl', 'mencin', 'ciudades', 'jueves']	['atencion es ahora una tendencia en ', ' es ahora una tendencia en ', ' es ahora una tendencia en']	" ""Trending Topics & Hashtag Dynamics"	 Weekly Twitter Trends Summary .
