Topic	Count	Name	Representation	KeyBERT	MMR	Representative_Docs	about-label_prompt1	about-label_prompt2
-1	23288	-1_amp_day_time_one	['amp', 'day', 'time', 'one', 'travel', 'today', 'people', 'like', 'back', 'good', 'see', 'get', 'love', 'go', 'great', 'beautiful', 'last', 'ms', 'new', 'us', 'country', 'first', 'home', 'morning', 'world', 'years', 'way', 'would', 'much', 'visit']	['visit', 'trip', 'via', 'hoy', 'travel', 'summer', 'place', 'nice', 'friends', 'let']	['day', 'travel', 'back', 'love', 'go', 'beautiful', 'us', 'country', 'home', 'visit']	['reflecting on a time well spent in and ... lovely friends and beautiful memories! until next time. more photos on my facebook page happy holidays everyone! , ,', 'not only am i going to live in im going to live in a house with an internet friend of years + one of my fav people i met this summer and my other fav person is gonna be working at the hostel right around the corner. its basically like friends (the show)', 'the days of tanning in the are ending. i hope to be back next summer. photography happy beautiful instadaily nature holiday love sun summer tan amazing']	 #TravelAdventures	" ""Daily Travel Experiences"" or “"
0	6989	0_vatican_travel_pope_city	['vatican', 'travel', 'pope', 'city', 'beautiful', 'art', 'papa', 'snow', 'vaticano', 'musei', 'day', 'sunset', 'one', 'winter', 'visit', 'church', 'museums', 'vaticancity', 'hotel', 'today', 'weather', 'place', 'amp', 'see', 'mass', 'catholic', 'view', 'photography', 'old', 'francis']	['vaticani', 'vaticano', 'basilica', 'vatican', 'vaticancity', 'museo', 'museums', 'museum', 'travelphotography', 'rome']	['vatican', 'city', 'vaticano', 'sunset', 'visit', 'museums', 'vaticancity', 'weather', 'view', 'photography']	['great place for a sunset last night', 'vatican museums', 'vaticancity vatican  en']	" ""Vatican City & Pope's"	" Vatican City Tour & Photography
("
1	3632	1_team_eurovision_music_game	['team', 'eurovision', 'music', 'game', 'tonight', 'win', 'concert', 'radio', 'football', 'final', 'f1', 'live', 'race', 'great', 'show', 'play', 'nowplaying', 'league', 'time', 'club', 'match', 'see', 'first', 'amp', 'one', 'last', 'song', 'best', 'good', 'new']	['eurovision', 'championship', 'champions', 'teams', 'team', 'tournament', 'fans', 'league', 'stadium', 'win']	['eurovision', 'tonight', 'win', 'concert', 'radio', 'show', 'nowplaying', 'match', 'last', 'song']	['for the fact i am gonna watch the team i grew up supporting play a champions league game live is a life high for me and i am relishing this opportunity welcome to , see you soon', 'next year? eurovision', 'the only football team in all of']	" Live Sports & Music Events
"	" ""Live Music & Sports Events"""
2	1604	2_christmas_happy_day_birthday	['christmas', 'happy', 'day', 'birthday', 'love', 'week', 'good', 'weekend', 'morning', 'thank', 'year', 'beautiful', 'everyone', 'today', 'greetings', 'great', 'new', 'friends', 'th', 'hope', 'monday', 'see', 'saludos', 'nice', 'amp', 'time', 'independence', 'friday', 'like', 'one']	['merry', 'navidad', 'christmas', 'holiday', 'holidays', 'happynewyear', 'birthday', 'saludos', 'feliz', 'greetings']	['christmas', 'happy', 'day', 'birthday', 'weekend', 'everyone', 'greetings', 'friends', 'saludos', 'nice']	['christmas time in', 'happy weekend from', 'happy birthday, !']	" ""Festive Greetings & Well-"	 Holiday Greetings .
3	1600	3_foto_posted_publicar_photo	['foto', 'posted', 'publicar', 'photo', 'acaba', 'acabou', 'acabei', 'selfie', 'photos', 'like', 'get', 'got', 'one', 'photography', 'know', 'solo', 'fotos', 'ms', 'say', 'va', 'pra', 'guy', 'ver', 'time', 'go', 'dont', 'pictures', 'vez', 'still', 'could']	['foto', 'photo', 'pic', 'picture', 'hace', 'fotos', 'pics', 'hizo', 'ver', 'pictures']	['foto', 'posted', 'photo', 'selfie', 'photos', 'photography', 'fotos', 'guy', 'vez', 'still']	['acaba de publicar una foto en -', 'acaba de publicar una foto en .', 'acaba de publicar una foto en , .']	" ""Selfies & Photography Sharing"""	 Personal photography moments Enter.
4	1559	4_russian_ukrainian_putin_getputin	['russian', 'ukrainian', 'putin', 'getputin', 'military', 'evilputin', 'refugees', 'nato', 'freedomof', 'thefallofputin', 'people', 'forces', 'ukrainians', 'amp', 'invasion', 'russians', 'children', 'army', 'attack', 'support', 'nuclear', 'weapons', 'stop', 'refugee', 'help', 'troops', 'would', 'country', 'civilians', 'missiles']	['ukrainians', 'ukraine', 'kyiv', 'ukrainian', 'russians', 'troops', 'russian', 'soldiers', 'freedomof', 'army']	['ukrainian', 'getputin', 'refugees', 'ukrainians', 'invasion', 'russians', 'children', 'troops', 'civilians', 'missiles']	"['ukrainians are great soldiers that are hard to match for any army in the world. thefallofputin  getputin evilputin   freedomof ', ' is in full control of ukrainian forces thefallofputin  getputin evilputin   freedomof ', 'picture of ukrainian soldiers in front of  sign. ""we are already here"" thefallofputin  getputin evilputin   freedomof ']"	" ""Ukraine-Russia Conflict & Refugee Crisis"	 Russian-Ukrainian Conflict & Military Invasion
5	1337	5_beer_coffee_food_wine	['beer', 'coffee', 'food', 'wine', 'drinking', 'restaurant', 'dinner', 'ale', 'cerveza', 'delicious', 'pizza', 'birra', 'lunch', 'craftbeer', 'foodie', 'bier', 'pivo', 'bire', 'cream', 'chocolate', 'good', 'pasta', 'best', 'publicis', 'cafe', 'meal', 'one', 'foodporn', 'eat', 'amp']	['pivo', 'birra', 'cerveza', 'beer', 'bier', 'beers', 'brewery', 'brewing', 'craftbeer', 'drinks']	['beer', 'restaurant', 'dinner', 'pizza', 'lunch', 'foodie', 'pasta', 'cafe', 'meal', 'foodporn']	['ale bier beer birra bire cerveza pivo  craftbeer - drinking a tokyo smoke by publicis', 'ale bier beer birra bire cerveza pivo  craftbeer - drinking an cream ale by inale', 'ale bier beer birra bire cerveza pivo  craftbeer - drinking an by publicis']	 Food, Drink & Restaurants Name	 Culinary Delights 62
6	1111	6_meeting_amp_conference_great	['meeting', 'amp', 'conference', 'great', 'minister', 'today', 'climate', 'president', 'future', 'foreign', 'students', 'meet', 'ambassador', 'innovation', 'forward', 'business', 'rgmx', 'event', 'youth', 'education', 'mxico', 'looking', 'new', 'thanks', 'project', 'cooperation', 'welcome', 'research', 'startup', 'young']	['conference', 'meeting', 'ambassador', 'discussion', 'discuss', 'discussed', 'keynote', 'president', 'cooperation', 'welcome']	['meeting', 'conference', 'climate', 'future', 'students', 'ambassador', 'innovation', 'rgmx', 'youth', 'mxico']	['on oct -8, the will host a conference with european decision-makers &amp; leading experts in public health, economics &amp; climate science to propose integral solutions to the pandemic and climate crisis. multiple members of will be speaking at the event.', 'during a meeting with , ambassador of the republic of to , we discussed bilateral relations, the current covid-19 situation and opportunities for further cooperation between the two countries', 'welcome back to ,president . your nd visit to  in one year is a strong signal of support &amp; solidarity with us. we have discussed the latest developments in the region, energy security &amp; education, but also our -economic cooperation.']	 International Conference Youth Innovation	" ""International Political & Educational Conference on Climate"
7	1012	7_brexit_amp_vote_people	['brexit', 'amp', 'vote', 'people', 'government', 'democracy', 'scotland', 'would', 'party', 'political', 'even', 'referendum', 'country', 'elections', 'right', 'like', 'voted', 'one', 'media', 'british', 'want', 'tax', 'johnson', 'corrupt', 'gobierno', 'election', 'labour', 'leave', 'state', 'think']	['brexit', 'brexiteers', 'referendum', 'parliament', 'politics', 'vote', 'democracy', 'votar', 'voted', 'political']	['brexit', 'vote', 'government', 'democracy', 'scotland', 'political', 'referendum', 'elections', 'british', 'leave']	"['the parliament needs to vote a legislation that a no-deal brexit is not allowed unless there is a majority for a no-deal. boris johnson has to respect the democracy and not suspend the voice of the people in order to get in a complete chaos.', ""it's a disaster for honesty &amp; transparency in public life that media &amp; both government &amp; main opposition party lab. subscribe to the omert compact not to talk about it. the brexit king has no clothes. cannot last forever &amp; labour in government will not make hard brexit work!"", 'labour of course brexit can be eventually undone if there is the political will. brexit is clearly not working &amp; nothing will make it work with tory &amp; lab hard brexit policies out of sm &amp; cu. over time as enlarges to &amp; economy will be increasingly isolated from .']"	" ""UK Political Debate Around Brexit & Democracy"	 British Politics & Brexit1 Like 
8	824	8_taxi_chauffeur_flight_train	['taxi', 'chauffeur', 'flight', 'train', 'airport', 'uber', 'bus', 'drivers', 'flights', 'car', 'addison', 'plane', 'flying', 'lee', 'trains', 'back', 'station', 'hours', 'waiting', 'fly', 'driver', 'delayed', 'cars', 'transport', 'get', 'cancelled', 'time', 'got', 'service', 'booked']	['taxi', 'uber', 'chauffeur', 'drivers', 'driver', 'driving', 'passenger', 'car', 'passengers', 'cars']	['taxi', 'chauffeur', 'airport', 'uber', 'bus', 'drivers', 'flights', 'delayed', 'transport', 'booked']	['uber drivers launch class action against ride share company  taxi chauffeur', 'uber class action: taxi and hire-car drivers join lawsuit against company taxi chauffeur ', 'uber income taxi chauffeur ']	 Transportation Issues & Delays	 Transportation Delays [...]Read more
